Target Table,Target Column,Layer,Mapping Type,QlikView Expression,Snowflake SQL,Ultimate Sources,Needs Review,Notes
table_1,"2017/03/28 )'; // "" The number and price of air conditioners for TLSC will be excluded from October 2015 onwards"" → Correction "" Only sales wraps are excluded"" //set My_Version = 'Ver 1.41(2017/03/23)'; // Added sales graph for all products by location //set My_Version = 'Ver 1.40(2017/01/16)'; // Support for transferring the occurrence date to a working day //set My_Version = 'Ver 1.39(2016/12/22)'; // Supports ""Sabu[1.1]"" channel and branch code //set My_Version = 'Ver 1.38(2016/11/09)'; // Set the initial display to the current month only //set My_Version = 'Ver 1.37a(2016/10/03)'; // Import the number of JOB miscellaneous machines //set My_Version = 'Ver 1.37(2017/03/17)'; // Construction property backlog/work in progress Added items ① Main contractor/subcontractor classification ② Industrial waste treatment classification //set My_Version = 'Ver 1.36(2016/09/26)'; //Exclude the number and price of air conditioners for TLSC from October 2015 onwards //set My_Version = 'Ver 1.35(2016/07/26)'; // Add content to the movement details sheet search item ""Information NO "" //set My_Version = 'Ver 1.34(2016/05/19)'; // Add search item ""Responsible"" to the movement details sheet //set My_Version = 'Ver 1.33(2016/04/15)'; // Import ""Scheduled construction start FROM(54) , Scheduled construction start TO(55) , Construction start record FROM(65) "" from property information //set My_Version = 'Ver 1.32(2016/04/13)'; // Import ""own district (automatically created class)"" from the movement details //set My_Version = 'Ver 1.31(2016/04/07)'; // Add ""day"" to the movement details sheet //set My_Version = 'Ver 1.30(2016/04/05)'; // Add function for the entire department //set My_Version = 'Ver 1.29(2016/04/04)'; // Support for budget data duplication //set My_Version = 'Ver 1.28(2016/03/28)'; // ☆ Limited release of construction engineer name duplicate check function (Onishi, Asami, Kaji, Nakagawa only) //set My_Version = 'Ver 1.27(2016/03/18)'; // ☆ Import from construction property as information by name of construction engineer whose cost is 25 million yen or more //set My_Version = 'Ver 1.26(2016/03/08)'; // Import the ""construction engineer name"" from the construction property //set My_Version = 'Ver 1.25(2016/02/16)'; // Import ""Purchase Order NO. "" from the transfer details //set My_Version = 'Ver 1.24(2016/02/08)'; // Try reading LDAP //set My_Version = 'Ver 1.23(2016/01/15)'; // Add LP to ACT_LOAD . //set My_Version = 'Ver 1.22(2015/12/18)'; // Exclude construction property cancellation flag = 1 //set My_Version = 'Ver 1.21(2015/12/17)'; // Respond to construction property backlog/work in process (obtain shipping date and property information registration date from movement details) //set My_Version = 'Ver 1.20(2015/11/19)'; // Compatible with backlog and work-in-progress of construction items //set My_Version = 'Ver 1.10(2015/10/20)'; // Import construction property //set My_Version = 'Ver 1.01(2015/05/01)'; // Support common folder reference //set My_Version = 'Ver 1.00(2014/03/01)'; // Demo presentation version // common definition set DEBUG = 1; let varC_StarStr = Repeat( '*' , 80 ); LET varD_Today = Today(); // Today's set set My_DB_User =DWHA",intermediate,derived,"2017/03/28 )'; // "" The number and price of air conditioners for TLSC will be excluded from October 2015 onwards"" → Correction "" Only sales wraps are excluded"" //set My_Version = 'Ver 1.41(2017/03/23)'; // Added sales graph for all products by location //set My_Version = 'Ver 1.40(2017/01/16)'; // Support for transferring the occurrence date to a working day //set My_Version = 'Ver 1.39(2016/12/22)'; // Supports ""Sabu[1.1]"" channel and branch code //set My_Version = 'Ver 1.38(2016/11/09)'; // Set the initial display to the current month only //set My_Version = 'Ver 1.37a(2016/10/03)'; // Import the number of JOB miscellaneous machines //set My_Version = 'Ver 1.37(2017/03/17)'; // Construction property backlog/work in progress Added items ① Main contractor/subcontractor classification ② Industrial waste treatment classification //set My_Version = 'Ver 1.36(2016/09/26)'; //Exclude the number and price of air conditioners for TLSC from October 2015 onwards //set My_Version = 'Ver 1.35(2016/07/26)'; // Add content to the movement details sheet search item ""Information NO "" //set My_Version = 'Ver 1.34(2016/05/19)'; // Add search item ""Responsible"" to the movement details sheet //set My_Version = 'Ver 1.33(2016/04/15)'; // Import ""Scheduled construction start FROM(54) , Scheduled construction start TO(55) , Construction start record FROM(65) "" from property information //set My_Version = 'Ver 1.32(2016/04/13)'; // Import ""own district (automatically created class)"" from the movement details //set My_Version = 'Ver 1.31(2016/04/07)'; // Add ""day"" to the movement details sheet //set My_Version = 'Ver 1.30(2016/04/05)'; // Add function for the entire department //set My_Version = 'Ver 1.29(2016/04/04)'; // Support for budget data duplication //set My_Version = 'Ver 1.28(2016/03/28)'; // ☆ Limited release of construction engineer name duplicate check function (Onishi, Asami, Kaji, Nakagawa only) //set My_Version = 'Ver 1.27(2016/03/18)'; // ☆ Import from construction property as information by name of construction engineer whose cost is 25 million yen or more //set My_Version = 'Ver 1.26(2016/03/08)'; // Import the ""construction engineer name"" from the construction property //set My_Version = 'Ver 1.25(2016/02/16)'; // Import ""Purchase Order NO. "" from the transfer details //set My_Version = 'Ver 1.24(2016/02/08)'; // Try reading LDAP //set My_Version = 'Ver 1.23(2016/01/15)'; // Add LP to ACT_LOAD . //set My_Version = 'Ver 1.22(2015/12/18)'; // Exclude construction property cancellation flag = 1 //set My_Version = 'Ver 1.21(2015/12/17)'; // Respond to construction property backlog/work in process (obtain shipping date and property information registration date from movement details) //set My_Version = 'Ver 1.20(2015/11/19)'; // Compatible with backlog and work-in-progress of construction items //set My_Version = 'Ver 1.10(2015/10/20)'; // Import construction property //set My_Version = 'Ver 1.01(2015/05/01)'; // Support common folder reference //set My_Version = 'Ver 1.00(2014/03/01)'; // Demo presentation version // common definition set DEBUG = 1; let varC_StarStr = Repeat( '*' , 80 ); LET varD_Today = Today(); // Today's set set My_DB_User =DWHA","2017/03/28 )'; // "" The number and price of air conditioners for TLSC will be excluded from October 2015 onwards"" → Correction "" Only sales wraps are excluded"" //set My_Version = 'Ver 1.41(2017/03/23)'; // Added sales graph for all products by location //set My_Version = 'Ver 1.40(2017/01/16)'; // Support for transferring the occurrence date to a working day //set My_Version = 'Ver 1.39(2016/12/22)'; // Supports ""Sabu""1.1"""" channel and branch code //set My_Version = 'Ver 1.38(2016/11/09)'; // Set the initial display to the current month only //set My_Version = 'Ver 1.37/* TODO review */ a(2016/10/03)'; // Import the number of JOB miscellaneous machines //set My_Version = 'Ver 1.37(2017/03/17)'; // Construction property backlog/work in progress Added items ① Main contractor/subcontractor classification ② Industrial waste treatment classification //set My_Version = 'Ver 1.36(2016/09/26)'; //Exclude the number and price of air conditioners for TLSC from October 2015 onwards //set My_Version = 'Ver 1.35(2016/07/26)'; // Add content to the movement details sheet search item ""Information NO "" //set My_Version = 'Ver 1.34(2016/05/19)'; // Add search item ""Responsible"" to the movement details sheet //set My_Version = 'Ver 1.33(2016/04/15)'; // Import ""Scheduled construction start /* TODO review */ FROM(54) , Scheduled construction start /* TODO review */ TO(55) , Construction start record /* TODO review */ FROM(65) "" from property information //set My_Version = 'Ver 1.32(2016/04/13)'; // Import ""own /* TODO review */ district(automatically created class)"" from the movement details //set My_Version = 'Ver 1.31(2016/04/07)'; // Add ""day"" to the movement details sheet //set My_Version = 'Ver 1.30(2016/04/05)'; // Add function for the entire department //set My_Version = 'Ver 1.29(2016/04/04)'; // Support for budget data duplication //set My_Version = 'Ver 1.28(2016/03/28)'; // ☆ Limited release of construction engineer name duplicate check /* TODO review */ function(Onishi, Asami, Kaji, Nakagawa only) //set My_Version = 'Ver 1.27(2016/03/18)'; // ☆ Import from construction property as information by name of construction engineer whose cost is 25 million yen or more //set My_Version = 'Ver 1.26(2016/03/08)'; // Import the ""construction engineer name"" from the construction property //set My_Version = 'Ver 1.25(2016/02/16)'; // Import ""Purchase Order NO. "" from the transfer details //set My_Version = 'Ver 1.24(2016/02/08)'; // Try reading LDAP //set My_Version = 'Ver 1.23(2016/01/15)'; // Add LP to ACT_LOAD . //set My_Version = 'Ver 1.22(2015/12/18)'; // Exclude construction property cancellation flag = 1 //set My_Version = 'Ver 1.21(2015/12/17)'; // Respond to construction property backlog/work in /* TODO review */ process(obtain shipping date and property information registration date from movement details) //set My_Version = 'Ver 1.20(2015/11/19)'; // Compatible with backlog and work-in-progress of construction items //set My_Version = 'Ver 1.10(2015/10/20)'; // Import construction property //set My_Version = 'Ver 1.01(2015/05/01)'; // Support common folder reference //set My_Version = 'Ver 1.00(2014/03/01)'; // Demo presentation version // common definition set DEBUG = 1; let varC_StarStr = REPEAT('*', 80); LET varD_Today = CURRENT_DATE; // Today's set set My_DB_User =DWHA",-,Yes,Function 'a()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'FROM()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'TO()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'FROM()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'district()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'function()' not in mapping - emitted verbatim; verify Snowflake compatibility.; Function 'process()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_2,*,staging,constant,*,*,-,,
table_3,*,staging,constant,*,*,-,,
table_4,*,staging,constant,*,*,-,,
MASTER_FD2,Distinct FD major classification name as Product classification name,staging,derived,Distinct FD major classification name as Product classification name,Distinct FD major classification name as Product classification name,"unknown_source.FD, unknown_source.major, unknown_source.classification, unknown_source.name, unknown_source.Product",,
MASTER_FD2,category name as Product classification name,staging,derived,category name as Product classification name,category name as Product classification name,"unknown_source.category, unknown_source.name, unknown_source.Product, unknown_source.classification",,
MASTER_FD2,management,staging,derived,Management product classification,Management product classification,"unknown_source.Management, unknown_source.product, unknown_source.classification",,
MASTER_Classification_FD,FD,staging,derived,Product classification,Product classification,"unknown_source.Product, unknown_source.classification",,
MASTER_Classification_FD,BU,staging,derived,[ Sales Department (BU)],"""Sales /* TODO review */ Department(BU)""",unknown_source.Sales  ( BU),Yes,Function 'Department()' not in mapping - emitted verbatim; verify Snowflake compatibility.
MASTER_Classification_FD,Sales department (BU) name ] as BU name,staging,derived,[ Sales department (BU) name ] as BU name,"""Sales /* TODO review */ department(BU) name"" as BU name","unknown_source.Sales  ( BU) name, unknown_source.BU, unknown_source.name",Yes,Function 'department()' not in mapping - emitted verbatim; verify Snowflake compatibility.
MASTER_Classification_FD,Product group ( purchase GP)] as purchase GP,staging,derived,[ Product group ( purchase GP)] as purchase GP,"""Product /* TODO review */ group(purchase GP)"" as purchase GP","unknown_source.Product  (  purchase GP), unknown_source.purchase, unknown_source.GP",Yes,Function 'group()' not in mapping - emitted verbatim; verify Snowflake compatibility.
